"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN",
"COM00080110","OLAYA HERRERA, CO","2017-01-20","35.1","23.2"," ","17.3",
"COM00080110","OLAYA HERRERA, CO","2017-05-06","32.0","21.7"," ","17.0",
"COM00080110","OLAYA HERRERA, CO","2017-05-16","41.9","23.3"," ","16.8",
"COM00080110","OLAYA HERRERA, CO","2017-05-18","38.1","25.2"," ","17.8",
"COM00080110","OLAYA HERRERA, CO","2017-12-03","31.0","23.1"," ","18.2",
"COM00080110","OLAYA HERRERA, CO","2018-02-14","34.0","20.6"," "," ",
"COM00080110","OLAYA HERRERA, CO","2018-05-20","51.1","21.4"," ","15.6",
"COM00080110","OLAYA HERRERA, CO","2018-09-06","33.0","22.6"," ","17.0",
"COM00080110","OLAYA HERRERA, CO","2018-10-04","33.0","22.9"," ","16.3",
"COM00080110","OLAYA HERRERA, CO","2018-10-05","36.1","22.1"," ","16.9",
"COM00080110","OLAYA HERRERA, CO","2018-10-06","48.0","21.1"," "," ",
"COM00080110","OLAYA HERRERA, CO","2019-03-26","67.1","22.7"," ","17.5",
"COM00080110","OLAYA HERRERA, CO","2019-04-02","34.0","22.2"," ","17.4",
"COM00080110","OLAYA HERRERA, CO","2019-04-05","39.9","22.4"," ","17.2",
"COM00080110","OLAYA HERRERA, CO","2019-04-18","32.0","22.9"," ","16.8",
