"STATION","NAME","DATE","PRCP","TMAX","TMIN","TOBS"
"USC00284339","JERSEY CITY, NJ US","1980-03-08","12.7","10.0","3.9","8.3"
"USC00284339","JERSEY CITY, NJ US","1980-03-09","0.0","8.3","1.1","1.1"
"USC00284339","JERSEY CITY, NJ US","1980-03-10","12.2","7.8","-0.6","6.7"
"USC00284339","JERSEY CITY, NJ US","1980-03-11","6.1","6.7","-5.0","-5.0"
"USC00284339","JERSEY CITY, NJ US","1980-03-12","0.0","0.6","-6.7","-3.9"
"USC00284339","JERSEY CITY, NJ US","1980-03-13","24.1","-1.7","-6.7","-5.0"
"USC00284339","JERSEY CITY, NJ US","1980-03-14","10.2","2.8","-5.0","-0.6"
"USC00284339","JERSEY CITY, NJ US","1980-03-15","0.0","3.3","-2.2","-2.2"
"USC00284339","JERSEY CITY, NJ US","1980-03-16","0.0","4.4","-5.6","2.2"
"USC00284339","JERSEY CITY, NJ US","1980-03-17","3.8","11.1","2.2","10.6"
"USC00284339","JERSEY CITY, NJ US","1980-03-18","5.1","10.6","1.1","1.1"
"USC00284339","JERSEY CITY, NJ US","1980-03-19","0.0","11.7","-1.1","6.7"
"USC00284339","JERSEY CITY, NJ US","1980-03-20","0.0","11.7","2.8","8.9"
"USC00284339","JERSEY CITY, NJ US","1980-03-21","33.3","9.4","3.3","6.7"
"USC00284339","JERSEY CITY, NJ US","1980-03-22","22.1","6.7","0.6","1.1"
"USC00284339","JERSEY CITY, NJ US","1980-03-23","0.0","11.7","0.0","3.3"
"USC00284339","JERSEY CITY, NJ US","1980-03-24","10.4","8.9","1.1","3.3"
"USC00284339","JERSEY CITY, NJ US","1980-03-25","11.4","4.4","1.1","2.2"
"USC00284339","JERSEY CITY, NJ US","1980-03-26","0.0","7.2","0.6","3.3"
"USC00284339","JERSEY CITY, NJ US","1980-03-27","0.0","11.1","0.6","0.6"
"USC00284339","JERSEY CITY, NJ US","1980-03-28","0.0","7.8","0.6","4.4"
"USC00284339","JERSEY CITY, NJ US","1980-03-29","17.8","7.8","3.3","3.3"
"USC00284339","JERSEY CITY, NJ US","1980-03-30","0.0","11.7","3.3","6.7"
"USC00284339","JERSEY CITY, NJ US","1980-03-31","15.2","6.7","-1.1","-1.7"
"USC00284339","JERSEY CITY, NJ US","1980-04-01","0.0","11.1","-1.7","3.9"
"USC00284339","JERSEY CITY, NJ US","1980-04-02","0.0","9.4","2.8","7.2"
"USC00284339","JERSEY CITY, NJ US","1980-04-03","0.0","14.4","5.0","7.2"
"USC00284339","JERSEY CITY, NJ US","1980-04-04","16.8","15.6","5.6","8.3"
"USC00284339","JERSEY CITY, NJ US","1980-04-05","0.0","12.2","5.0","8.3"
"USC00284339","JERSEY CITY, NJ US","1980-04-06","0.0","16.1","7.2","8.3"
"USC00284339","JERSEY CITY, NJ US","1980-04-07","0.0","11.7","5.6","7.2"
"USC00284339","JERSEY CITY, NJ US","1980-04-08","0.0","13.3","5.6","10.6"
"USC00284339","JERSEY CITY, NJ US","1980-04-09","50.8","11.1","8.3","10.0"
"USC00284339","JERSEY CITY, NJ US","1980-04-10","0.0","17.8","10.0","13.3"
"USC00284339","JERSEY CITY, NJ US","1980-04-11","0.0","16.7","9.4","9.4"
"USC00284339","JERSEY CITY, NJ US","1980-04-12","0.0","16.1","8.9","13.3"
"USC00284339","JERSEY CITY, NJ US","1980-04-13","0.0","18.3","10.0","11.7"
"USC00284339","JERSEY CITY, NJ US","1980-04-14","23.6","11.7","5.6","11.7"
"USC00284339","JERSEY CITY, NJ US","1980-04-15","0.0","16.1","7.8","7.8"
"USC00284339","JERSEY CITY, NJ US","1980-04-16","0.0","7.8","-0.6","-0.6"
"USC00284339","JERSEY CITY, NJ US","1980-04-17","0.0","13.3","-2.2","6.1"
"USC00284339","JERSEY CITY, NJ US","1980-04-18","0.0","15.0","6.1","10.0"
"USC00284339","JERSEY CITY, NJ US","1980-04-19","0.0","15.6","6.7","9.4"
"USC00284339","JERSEY CITY, NJ US","1980-04-20","0.0","20.0","7.8","15.0"
"USC00284339","JERSEY CITY, NJ US","1980-04-21","0.0","21.1","11.7","13.9"
"USC00284339","JERSEY CITY, NJ US","1980-04-22","0.0","16.1","4.4","15.6"
"USC00284339","JERSEY CITY, NJ US","1980-04-23","0.0","17.8","2.8","12.2"
"USC00284339","JERSEY CITY, NJ US","1980-04-24","0.0","16.7","7.8","8.9"
"USC00284339","JERSEY CITY, NJ US","1980-04-25","0.0","13.9","6.7","8.3"
"USC00284339","JERSEY CITY, NJ US","1980-04-26","0.0","13.3","7.8","10.6"
"USC00284339","JERSEY CITY, NJ US","1980-04-27","8.9","10.6","5.0","6.1"
"USC00284339","JERSEY CITY, NJ US","1980-04-28","50.8","7.8","6.1","6.7"
"USC00284339","JERSEY CITY, NJ US","1980-04-29","10.2","8.9","6.7","8.9"
"USC00284339","JERSEY CITY, NJ US","1980-04-30","0.5","13.3","7.2","10.0"
"USC00284339","JERSEY CITY, NJ US","1980-05-01","0.0","17.2","8.3","13.3"
"USC00284339","JERSEY CITY, NJ US","1980-05-02","0.0","19.4","11.1","11.1"
"USC00284339","JERSEY CITY, NJ US","1980-05-03","0.0","26.7","10.0","16.1"
"USC00284339","JERSEY CITY, NJ US","1980-05-04","0.0","22.8","14.4","14.4"
"USC00284339","JERSEY CITY, NJ US","1980-05-05","0.0","27.2","14.4","22.2"
"USC00284339","JERSEY CITY, NJ US","1980-05-06","0.0","22.8","12.8","14.4"
"USC00284339","JERSEY CITY, NJ US","1980-05-07","5.6","15.6","8.9","10.6"
"USC00284339","JERSEY CITY, NJ US","1980-05-08",,"10.6","7.8","9.4"
"USC00284339","JERSEY CITY, NJ US","1980-05-09","0.0","15.0","6.7","10.0"
"USC00284339","JERSEY CITY, NJ US","1980-05-10","0.0","18.3","6.1","12.8"
"USC00284339","JERSEY CITY, NJ US","1980-05-11","8.1","16.1","11.1","13.9"
"USC00284339","JERSEY CITY, NJ US","1980-05-12","6.6","18.9","13.3","15.0"
"USC00284339","JERSEY CITY, NJ US","1980-05-13","0.0","25.6","15.0","22.2"
"USC00284339","JERSEY CITY, NJ US","1980-05-14","1.0","22.8","13.3","18.3"
"USC00284339","JERSEY CITY, NJ US","1980-05-15","0.0","18.3","8.9","10.0"
"USC00284339","JERSEY CITY, NJ US","1980-05-16","0.0","21.7","7.2","13.9"
"USC00284339","JERSEY CITY, NJ US","1980-05-17","0.0","20.0","10.6","14.4"
"USC00284339","JERSEY CITY, NJ US","1980-05-18","1.0","15.0","12.8","13.3"
"USC00284339","JERSEY CITY, NJ US","1980-05-19","0.0","23.9","12.8","17.8"
"USC00284339","JERSEY CITY, NJ US","1980-05-20","0.0","20.0","14.4","14.4"
"USC00284339","JERSEY CITY, NJ US","1980-05-21","18.0","15.0","11.7","13.9"
"USC00284339","JERSEY CITY, NJ US","1980-05-22","0.0","28.3","12.8","21.1"
"USC00284339","JERSEY CITY, NJ US","1980-05-23","0.0","31.1","18.9","23.3"
"USC00284339","JERSEY CITY, NJ US","1980-05-24","0.0","26.1","17.8","18.3"
"USC00284339","JERSEY CITY, NJ US","1980-05-25","0.0","26.7","16.7","16.7"
"USC00284339","JERSEY CITY, NJ US","1980-05-26","0.0","22.2","11.1","13.9"
"USC00284339","JERSEY CITY, NJ US","1980-05-27","0.0","22.8","10.0","13.9"
"USC00284339","JERSEY CITY, NJ US","1980-05-28","0.0","24.4","11.7","17.2"
"USC00284339","JERSEY CITY, NJ US","1980-05-29","0.0","19.4","13.9","14.4"
"USC00284339","JERSEY CITY, NJ US","1980-05-30","0.0","18.9","13.9","15.6"
"USC00284339","JERSEY CITY, NJ US","1980-05-31","1.5","21.1","15.0","17.2"
"USC00284339","JERSEY CITY, NJ US","1980-06-01","0.0","27.2","16.7","21.1"
"USC00284339","JERSEY CITY, NJ US","1980-06-02","0.0","26.1","18.3","21.1"
"USC00284339","JERSEY CITY, NJ US","1980-06-03","31.8","27.8","18.3","18.9"
"USC00284339","JERSEY CITY, NJ US","1980-06-04","0.0","22.2","15.0","15.6"
"USC00284339","JERSEY CITY, NJ US","1980-06-05","0.0","21.7","12.8","17.8"
"USC00284339","JERSEY CITY, NJ US","1980-06-06","0.0","20.6","11.7","17.2"
"USC00284339","JERSEY CITY, NJ US","1980-06-07","11.9","23.3","15.6","17.8"
"USC00284339","JERSEY CITY, NJ US","1980-06-08","13.2","23.3","10.0","10.0"
"USC00284339","JERSEY CITY, NJ US","1980-06-09","11.9","16.7","6.7","11.1"
"USC00284339","JERSEY CITY, NJ US","1980-06-10","0.0","14.4","9.4","10.6"
"USC00284339","JERSEY CITY, NJ US","1980-06-11","0.0","17.8","7.2","11.1"
"USC00284339","JERSEY CITY, NJ US","1980-06-12","0.0","21.1","8.3","14.4"
"USC00284339","JERSEY CITY, NJ US","1980-06-13","0.0","20.0","11.1","13.3"
"USC00284339","JERSEY CITY, NJ US","1980-06-14","0.0","26.7","10.6","18.9"
"USC00284339","JERSEY CITY, NJ US","1980-06-15","0.0","27.8","17.2","21.1"
"USC00284339","JERSEY CITY, NJ US","1980-06-16","0.0","20.6","15.6","16.1"
"USC00284339","JERSEY CITY, NJ US","1980-06-17","0.0","20.0","11.7","15.0"
"USC00284339","JERSEY CITY, NJ US","1980-06-18","0.0","19.4","12.8","15.0"
"USC00284339","JERSEY CITY, NJ US","1980-06-19","0.0","20.6","12.8","14.4"
"USC00284339","JERSEY CITY, NJ US","1980-06-20","0.0","20.0","12.8","14.4"
"USC00284339","JERSEY CITY, NJ US","1980-06-21","0.0","24.4","12.8","18.9"
"USC00284339","JERSEY CITY, NJ US","1980-06-22","0.0","27.2","14.4","18.3"
"USC00284339","JERSEY CITY, NJ US","1980-06-23","0.0","26.7","16.7","22.2"
"USC00284339","JERSEY CITY, NJ US","1980-06-24","0.0","26.1","18.3","24.4"
"USC00284339","JERSEY CITY, NJ US","1980-06-25","0.0","30.0","20.0","21.7"
"USC00284339","JERSEY CITY, NJ US","1980-06-26","0.0","23.9","17.2","20.0"
"USC00284339","JERSEY CITY, NJ US","1980-06-27","0.0","32.2","17.8","22.8"
"USC00284339","JERSEY CITY, NJ US","1980-06-28","0.0","21.7","15.6","17.8"
"USC00284339","JERSEY CITY, NJ US","1980-06-29","0.5","22.2","17.2","18.3"
"USC00284339","JERSEY CITY, NJ US","1980-06-30","0.0","25.0","15.6","17.8"
"USC00284339","JERSEY CITY, NJ US","1980-07-01","0.0","22.8","14.4","18.3"
"USC00284339","JERSEY CITY, NJ US","1980-07-02","29.7","26.7","17.8","20.0"
"USC00284339","JERSEY CITY, NJ US","1980-07-03","3.3","22.2","18.9","20.0"
"USC00284339","JERSEY CITY, NJ US","1980-07-04","0.0","28.9","18.3","21.1"
"USC00284339","JERSEY CITY, NJ US","1980-07-05","4.1","26.1","18.3","18.3"
"USC00284339","JERSEY CITY, NJ US","1980-07-06","0.0","23.9","17.2","17.2"
"USC00284339","JERSEY CITY, NJ US","1980-07-07","0.0","26.1","12.8","20.6"
"USC00284339","JERSEY CITY, NJ US","1980-07-08","0.0","26.7","17.2","20.6"
"USC00284339","JERSEY CITY, NJ US","1980-07-09","0.0","27.8","17.8","21.1"
"USC00284339","JERSEY CITY, NJ US","1980-07-10","0.0","24.4","19.4","18.9"
"USC00284339","JERSEY CITY, NJ US","1980-07-11","0.0","28.9","18.3","23.9"
"USC00284339","JERSEY CITY, NJ US","1980-07-12","0.0","26.1","18.9","18.9"
"USC00284339","JERSEY CITY, NJ US","1980-07-13","0.0","27.8","13.9","20.6"
"USC00284339","JERSEY CITY, NJ US","1980-07-14","0.0","27.2","16.1","20.6"
"USC00284339","JERSEY CITY, NJ US","1980-07-15","0.0","29.4","18.3","22.2"
"USC00284339","JERSEY CITY, NJ US","1980-07-16","0.5","32.8","21.7","22.8"
"USC00284339","JERSEY CITY, NJ US","1980-07-17","2.5","29.4","19.4","24.4"
"USC00284339","JERSEY CITY, NJ US","1980-07-18","0.0","28.3","21.1","21.7"
"USC00284339","JERSEY CITY, NJ US","1980-07-19","0.0","25.6","20.6","24.4"
"USC00284339","JERSEY CITY, NJ US","1980-07-20","0.0","35.0","22.8","29.4"
"USC00284339","JERSEY CITY, NJ US","1980-07-21","0.0","34.4","26.1","27.8"
"USC00284339","JERSEY CITY, NJ US","1980-07-22","11.4","28.3","19.4","20.0"
"USC00284339","JERSEY CITY, NJ US","1980-07-23","0.8","24.4","20.0","21.7"
"USC00284339","JERSEY CITY, NJ US","1980-07-24","0.0","28.3","17.8","21.1"
"USC00284339","JERSEY CITY, NJ US","1980-07-25","0.0","29.4","17.2","23.3"
"USC00284339","JERSEY CITY, NJ US","1980-07-26","0.0","29.4","20.0","23.3"
"USC00284339","JERSEY CITY, NJ US","1980-07-27","0.0","26.7","20.6","20.6"
"USC00284339","JERSEY CITY, NJ US","1980-07-28","0.0","24.4","20.0","21.1"
"USC00284339","JERSEY CITY, NJ US","1980-07-29","74.9","22.8","17.8","20.0"
"USC00284339","JERSEY CITY, NJ US","1980-07-30","0.0","28.3","18.3","21.1"
"USC00284339","JERSEY CITY, NJ US","1980-07-31","0.0","29.4","18.3","21.7"
"USC00284339","JERSEY CITY, NJ US","1980-08-01","0.0","25.6","20.0","23.3"
"USC00284339","JERSEY CITY, NJ US","1980-08-02","63.5","30.0","18.9","18.9"
"USC00284339","JERSEY CITY, NJ US","1980-08-03","0.0","31.1","17.8","23.3"
"USC00284339","JERSEY CITY, NJ US","1980-08-04","0.0","28.3","21.1","23.9"
"USC00284339","JERSEY CITY, NJ US","1980-08-05","1.0","28.9","21.1","21.7"
"USC00284339","JERSEY CITY, NJ US","1980-08-06","0.0","29.4","20.6","23.9"
"USC00284339","JERSEY CITY, NJ US","1980-08-07","0.0","30.0","20.0","25.0"
"USC00284339","JERSEY CITY, NJ US","1980-08-08","0.0","31.7","22.2","25.6"
"USC00284339","JERSEY CITY, NJ US","1980-08-09","0.0","30.0","22.2","22.2"
"USC00284339","JERSEY CITY, NJ US","1980-08-10","0.0","27.8","18.3","21.1"
"USC00284339","JERSEY CITY, NJ US","1980-08-11","11.7","28.9","20.0","20.0"
"USC00284339","JERSEY CITY, NJ US","1980-08-12","0.8","28.9","20.0","20.6"
"USC00284339","JERSEY CITY, NJ US","1980-08-13","0.0","26.1","17.2","20.0"
"USC00284339","JERSEY CITY, NJ US","1980-08-14","0.0","24.4","17.2","22.8"
"USC00284339","JERSEY CITY, NJ US","1980-08-15","0.8","25.0","20.0","20.6"
"USC00284339","JERSEY CITY, NJ US","1980-08-16","0.0","22.2","14.4","16.1"
"USC00284339","JERSEY CITY, NJ US","1980-08-17","0.0","25.0","10.6","17.2"
"USC00284339","JERSEY CITY, NJ US","1980-08-18","0.0","22.2","15.6","17.8"
"USC00284339","JERSEY CITY, NJ US","1980-08-19","0.8","23.3","16.7","19.4"
"USC00284339","JERSEY CITY, NJ US","1980-08-20","18.3","19.4","16.7","16.7"
"USC00284339","JERSEY CITY, NJ US","1980-08-21","0.0","20.0","15.6","16.7"
"USC00284339","JERSEY CITY, NJ US","1980-08-22","0.0","22.8","15.6","17.2"
"USC00284339","JERSEY CITY, NJ US","1980-08-23","0.0","23.3","14.4","18.3"
"USC00284339","JERSEY CITY, NJ US","1980-08-24","0.0","28.3","15.0","20.6"
"USC00284339","JERSEY CITY, NJ US","1980-08-25","0.0","27.8","18.3","21.1"
"USC00284339","JERSEY CITY, NJ US","1980-08-26","0.0","26.7","16.7","21.1"
"USC00284339","JERSEY CITY, NJ US","1980-08-27","0.0","30.6","18.9","24.4"
"USC00284339","JERSEY CITY, NJ US","1980-08-28","0.0","30.0","18.3","18.3"
"USC00284339","JERSEY CITY, NJ US","1980-08-29","0.0","21.7","17.2","18.3"
"USC00284339","JERSEY CITY, NJ US","1980-08-30","0.0","25.0","17.8","20.6"
"USC00284339","JERSEY CITY, NJ US","1980-08-31","5.1","26.1","18.9","22.2"
"USC00284339","JERSEY CITY, NJ US","1980-09-01","0.0","26.7","20.0","23.3"
"USC00284339","JERSEY CITY, NJ US","1980-09-02","0.5","28.9","20.6","20.6"
"USC00284339","JERSEY CITY, NJ US","1980-09-03","0.0","27.2","18.3","19.4"
"USC00284339","JERSEY CITY, NJ US","1980-09-04","0.0","23.9","17.2","19.4"
"USC00284339","JERSEY CITY, NJ US","1980-09-05","0.0","29.4","20.0","19.4"
"USC00284339","JERSEY CITY, NJ US","1980-09-06","0.0","29.4","17.8","17.8"
"USC00284339","JERSEY CITY, NJ US","1980-09-07","0.0","22.2","14.4","16.7"
"USC00284339","JERSEY CITY, NJ US","1980-09-08","0.0","22.8","12.2","15.6"
"USC00284339","JERSEY CITY, NJ US","1980-09-09","0.0","19.4","11.1","18.9"
"USC00284339","JERSEY CITY, NJ US","1980-09-10","0.0","30.0","13.9","13.9"
"USC00284339","JERSEY CITY, NJ US","1980-09-11","0.0","29.4","10.6","17.2"
"USC00284339","JERSEY CITY, NJ US","1980-09-12","0.0","21.7","13.9","16.7"
"USC00284339","JERSEY CITY, NJ US","1980-09-13","0.0","29.4","13.3","17.2"
"USC00284339","JERSEY CITY, NJ US","1980-09-14","0.5","22.2","17.2","18.9"
"USC00284339","JERSEY CITY, NJ US","1980-09-15","0.0","18.9","12.8","12.8"
"USC00284339","JERSEY CITY, NJ US","1980-09-16","0.0","15.6","11.7","13.3"
"USC00284339","JERSEY CITY, NJ US","1980-09-17","22.9","18.9","13.3","15.6"
"USC00284339","JERSEY CITY, NJ US","1980-09-18","17.3","18.3","11.1","11.1"
"USC00284339","JERSEY CITY, NJ US","1980-09-19","0.0","21.1","8.3","15.6"
"USC00284339","JERSEY CITY, NJ US","1980-09-20","0.0","19.4","12.2","15.6"
"USC00284339","JERSEY CITY, NJ US","1980-09-21","0.0","23.3","15.0","20.0"
"USC00284339","JERSEY CITY, NJ US","1980-09-22","0.0","28.3","18.3","23.3"
"USC00284339","JERSEY CITY, NJ US","1980-09-23","0.0","23.3","11.7","11.7"
"USC00284339","JERSEY CITY, NJ US","1980-09-24","0.0","15.6","8.9","11.1"
"USC00284339","JERSEY CITY, NJ US","1980-09-25","2.0","12.2","10.0","11.1"
"USC00284339","JERSEY CITY, NJ US","1980-09-26","3.3","18.3","7.8","7.2"
"USC00284339","JERSEY CITY, NJ US","1980-09-27","0.0","13.3","3.3","6.7"
"USC00284339","JERSEY CITY, NJ US","1980-09-28","0.0","18.3","6.1","13.9"
"USC00284339","JERSEY CITY, NJ US","1980-09-29","0.0","12.8","7.2","11.1"
"USC00284339","JERSEY CITY, NJ US","1980-09-30","0.0","16.7","10.6","12.8"
"USC00284339","JERSEY CITY, NJ US","1980-10-01","0.0","20.6","10.0","14.4"
"USC00284339","JERSEY CITY, NJ US","1980-10-02","4.8","15.0","9.4","9.4"
"USC00284339","JERSEY CITY, NJ US","1980-10-03","11.7","13.3","7.8","7.8"
"USC00284339","JERSEY CITY, NJ US","1980-10-04","0.0","13.3","6.1","6.1"
"USC00284339","JERSEY CITY, NJ US","1980-10-05","0.0","12.2","5.0","5.6"
"USC00284339","JERSEY CITY, NJ US","1980-10-06","0.0","13.3","5.0","6.1"
"USC00284339","JERSEY CITY, NJ US","1980-10-07","0.5","11.7","4.4","9.4"
"USC00284339","JERSEY CITY, NJ US","1980-10-08","0.0","16.1","6.7","11.7"
"USC00284339","JERSEY CITY, NJ US","1980-10-09","0.0","16.1","6.1","6.1"
"USC00284339","JERSEY CITY, NJ US","1980-10-10","0.5","8.9","1.7","8.9"
"USC00284339","JERSEY CITY, NJ US","1980-10-11","1.0","13.3","8.3","8.3"
"USC00284339","JERSEY CITY, NJ US","1980-10-12","0.0","11.7","5.6","5.6"
